doc_id,unique_id,obs,hds,pred_hds,combined_pred
1,1,OK,DMY,S1,OK
1,2,",",DMY,eob,",<eob>"
1,3,so,DMY,S1,so
1,4,I,DMY,S1,I
1,5,want,DMY,S1,want
1,6,to,DMY,S1,to
1,7,talk,DMY,eol,talk<eol>
1,8,about,DMY,S2,about
1,9,diffusion,DMY,S2,diffusion
1,10,models,DMY,S2,models
1,11,.,DMY,eob,.<eob>
1,12,So,DMY,S1,So
1,13,this,DMY,S1,this
1,14,is,DMY,S1,is
1,15,",",DMY,eob,",<eob>"
1,16,I,DMY,S1,I
1,17,guess,DMY,S1,guess
1,18,",",DMY,eol,",<eol>"
1,19,round,DMY,S2,round
1,20,##ing,DMY,S2,##ing
1,21,out,DMY,S2,out
1,22,the,DMY,S2,the
1,23,genera,DMY,S2,genera
1,24,##tive,DMY,S2,##tive
1,25,image,DMY,S2,image
1,26,parts,DMY,S2,parts
1,27,.,DMY,eob,.<eob>
1,28,I,DMY,S1,I
1,29,know,DMY,S1,know
1,30,there,DMY,S1,there
1,31,was,DMY,S1,was
1,32,",",DMY,eob,",<eob>"
1,33,when,DMY,S1,when
1,34,I,DMY,S1,I
1,35,sent,DMY,S1,sent
1,36,out,DMY,eol,out<eol>
1,37,the,DMY,S2,the
1,38,survey,DMY,S2,survey
1,39,at,DMY,S2,at
1,40,the,DMY,S2,the
1,41,beginning,DMY,S2,beginning
1,42,of,DMY,S2,of
1,43,the,DMY,S2,the
1,44,class,DMY,S2,class
1,45,",",DMY,eob,",<eob>"
1,46,I,DMY,S1,I
1,47,know,DMY,S1,know
1,48,there,DMY,S1,there
1,49,was,DMY,S1,was
1,50,interest,DMY,eol,interest<eol>
1,51,on,DMY,S2,on
1,52,genera,DMY,S2,genera
1,53,##tive,DMY,S2,##tive
1,54,AI,DMY,S2,AI
1,55,.,DMY,eob,.<eob>
1,56,Actually,DMY,S1,Actually
1,57,",",DMY,eob,",<eob>"
1,58,I,DMY,S1,I
1,59,',DMY,S1,'
1,60,m,DMY,S1,m
1,61,not,DMY,S1,not
1,62,sure,DMY,S1,sure
1,63,if,DMY,S1,if
1,64,it,DMY,S1,it
1,65,was,DMY,S1,was
1,66,mainly,DMY,S1,mainly
1,67,just,DMY,S1,just
1,68,the,DMY,S1,the
1,69,LL,DMY,S1,LL
1,70,##M,DMY,S1,##M
1,71,stuff,DMY,S1,stuff
1,72,",",DMY,eob,",<eob>"
1,73,which,DMY,S1,which
1,74,we,DMY,S1,we
1,75,covered,DMY,S1,covered
1,76,",",DMY,eol,",<eol>"
1,77,or,DMY,S2,or
1,78,also,DMY,S2,also
1,79,the,DMY,S2,the
1,80,vision,DMY,S2,vision
1,81,stuff,DMY,S2,stuff
1,82,.,DMY,eob,.<eob>
1,83,But,DMY,S1,But
1,84,so,DMY,S1,so
1,85,for,DMY,S1,for
1,86,diffusion,DMY,S1,diffusion
1,87,models,DMY,S1,models
1,88,",",DMY,eob,",<eob>"
1,89,as,DMY,S1,as
1,90,I,DMY,S1,I
1,91,all,DMY,S1,all
1,92,##uded,DMY,eol,##uded<eol>
1,93,to,DMY,S2,to
1,94,last,DMY,S2,last
1,95,time,DMY,S2,time
1,96,",",DMY,eob,",<eob>"
1,97,so,DMY,S1,so
1,98,you,DMY,S1,you
1,99,',DMY,S1,'
1,100,re,DMY,S1,re
1,101,not,DMY,S1,not
1,102,going,DMY,eol,going<eol>
1,103,to,DMY,S2,to
1,104,get,DMY,S2,get
1,105,through,DMY,S2,through
1,106,all,DMY,S2,all
1,107,of,DMY,S2,of
1,108,the,DMY,S2,the
1,109,details,DMY,S2,details
1,110,of,DMY,S2,of
1,111,how,DMY,S2,how
1,112,diffusion,DMY,S2,diffusion
1,113,models,DMY,S2,models
1,114,work,DMY,S2,work
1,115,.,DMY,eob,.<eob>
1,116,It,DMY,S1,It
1,117,',DMY,S1,'
1,118,s,DMY,S1,s
1,119,just,DMY,S1,just
1,120,very,DMY,S1,very
1,121,math,DMY,S1,math
1,122,-,DMY,S1,-
1,123,heavy,DMY,S1,heavy
1,124,",",DMY,eob,",<eob>"
1,125,ideal,DMY,S1,ideal
1,126,##ly,DMY,S1,##ly
