doc_id,unique_id,obs,hds,pred_hds,combined_pred
1,1,All,DMY,S1,All
1,2,right,DMY,S1,right
1,3,",",DMY,eob,",<eob>"
1,4,so,DMY,S1,so
1,5,today,DMY,S1,today
1,6,we,DMY,S1,we
1,7,',DMY,S1,'
1,8,re,DMY,S1,re
1,9,back,DMY,eol,back<eol>
1,10,on,DMY,S2,on
1,11,the,DMY,S2,the
1,12,book,DMY,S2,book
1,13,chapter,DMY,S2,chapter
1,14,.,DMY,eob,.<eob>
1,15,I,DMY,S1,I
1,16,think,DMY,eol,think<eol>
1,17,the,DMY,S2,the
1,18,treatment,DMY,S2,treatment
1,19,of,DMY,S2,of
1,20,graph,DMY,S2,graph
1,21,##eno,DMY,S2,##eno
1,22,##lor,DMY,S2,##lor
1,23,##mat,DMY,S2,##mat
1,24,works,DMY,S2,works
1,25,was,DMY,S2,was
1,26,just,DMY,S2,just
1,27,fine,DMY,S2,fine
1,28,",",DMY,eob,",<eob>"
1,29,so,DMY,S1,so
1,30,I,DMY,S1,I
1,31,actually,DMY,S1,actually
1,32,follow,DMY,S1,follow
1,33,it,DMY,S1,it
1,34,very,DMY,S1,very
1,35,closely,DMY,S1,closely
1,36,.,DMY,eob,.<eob>
1,37,And,DMY,S1,And
1,38,it,DMY,S1,it
1,39,',DMY,S1,'
1,40,s,DMY,S1,s
1,41,more,DMY,S1,more
1,42,",",DMY,eob,",<eob>"
1,43,I,DMY,S1,I
1,44,think,DMY,S1,think
1,45,",",DMY,eob,",<eob>"
1,46,straightforward,DMY,S1,straightforward
1,47,extension,DMY,S1,extension
1,48,from,DMY,S1,from
1,49,what,DMY,S1,what
1,50,we,DMY,S1,we
1,51,',DMY,S1,'
1,52,ve,DMY,S1,ve
1,53,been,DMY,S1,been
1,54,talking,DMY,eol,talking<eol>
1,55,about,DMY,S2,about
1,56,earlier,DMY,S2,earlier
1,57,",",DMY,eob,",<eob>"
1,58,opposed,DMY,S1,opposed
1,59,to,DMY,S1,to
1,60,the,DMY,S1,the
1,61,",",DMY,eob,",<eob>"
1,62,o,DMY,S1,o
1,63,##ops,DMY,S1,##ops
1,64,",",DMY,eob,",<eob>"
1,65,I,DMY,S1,I
1,66,forgot,DMY,S1,forgot
1,67,to,DMY,S1,to
1,68,move,DMY,S1,move
1,69,the,DMY,S1,the
1,70,",",DMY,eob,",<eob>"
1,71,you,DMY,S1,you
1,72,are,DMY,S1,are
1,73,here,DMY,S1,here
1,74,point,DMY,S1,point
1,75,##er,DMY,S1,##er
1,76,.,DMY,eob,.<eob>
1,77,But,DMY,S1,But
1,78,yeah,DMY,S1,yeah
1,79,",",DMY,eol,",<eol>"
1,80,a,DMY,S2,a
1,81,little,DMY,S2,little
1,82,bit,DMY,S2,bit
1,83,more,DMY,S2,more
1,84,straightforward,DMY,S2,straightforward
1,85,extension,DMY,S2,extension
1,86,from,DMY,S2,from
1,87,the,DMY,S2,the
1,88,neural,DMY,S2,neural
1,89,net,DMY,S2,net
1,90,stuff,DMY,S2,stuff
1,91,",",DMY,eob,",<eob>"
1,92,from,DMY,S1,from
1,93,the,DMY,S1,the
1,94,GA,DMY,S1,GA
1,95,##NS,DMY,S1,##NS
1,96,and,DMY,S1,and
1,97,diffusion,DMY,S1,diffusion
1,98,models,DMY,S1,models
1,99,and,DMY,S1,and
1,100,VA,DMY,S1,VA
1,101,##E,DMY,S1,##E
1,102,.,DMY,eob,.<eob>
1,103,So,DMY,S1,So
